year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
2020,3,4799,22,1371,1371
2020,4,178,8,1371,1371
2020,5,7614,25,1371,1371
2021,1,9524,180,1371,1371
2021,2,80974,263,1371,1371
2021,3,2535,28,1371,1371
2021,4,4154,127,1371,1371
2021,5,84010,340,1371,1371
2022,1,5420,108,1371,1371
2022,2,60611,309,1371,1371
2022,3,8300,134,1371,1371
2022,4,2585,81,1371,1371
2022,5,60628,310,1371,1371
2023,1,0,0,1371,1371
2023,2,0,0,1371,1371
2023,3,38,1,1371,1371
2023,4,0,0,1371,1371
2023,5,38,1,1371,1371
2024,1,0,0,1371,1371
2024,2,0,0,1371,1371
2024,3,6598,64,1371,1371
