year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1998,4,194,4,2720,2720
1998,5,9939,206,2720,2720
1999,1,145424,619,2720,2720
1999,2,308742,775,2694,2720
1999,3,7169,146,2720,2720
1999,4,8704,274,2720,2720
1999,5,317383,887,2720,2720
2000,1,33115,539,2720,2720
2000,2,90684,670,2720,2720
2000,3,51400,510,2720,2720
2000,4,118880,790,2720,2720
2000,5,165274,1066,2720,2720
2001,1,169474,737,2720,2720
2001,2,211661,792,2720,2720
2001,3,5210,79,2716,2720
2001,4,78418,679,2720,2720
2001,5,242637,965,2720,2720
2002,1,194087,761,2720,2720
2002,2,478810,1281,2720,2720
2002,3,209222,883,2720,2720
2002,4,230386,1209,2720,2720
2002,5,514907,1453,2720,2720
2003,1,72070,644,2720,2720
2003,2,231483,1152,2720,2720
2003,3,184370,805,2720,2720
2003,4,189800,1084,2720,2720
2003,5,343143,1446,2720,2720
2004,1,236557,1083,2720,2720
2004,2,111302,762,2720,2720
2004,3,178737,863,2720,2720
2004,4,134552,993,2720,2720
2004,5,337549,1397,2720,2720
2005,1,111899,760,2720,2720
2005,2,146964,892,2720,2720
2005,3,137266,819,2720,2720
2005,4,135955,809,2720,2720
2005,5,212880,1176,2720,2720
2006,1,16245,290,2720,2720
2006,2,44827,444,2720,2720
2006,3,52232,451,2720,2720
2006,4,65152,641,2720,2720
2006,5,97104,789,2720,2720
2007,1,189745,1020,2720,2720
2007,2,727254,1801,2720,2720
2007,3,37485,661,2720,2720
2007,4,184466,1167,2720,2720
2007,5,729634,1809,2720,2720
2008,1,3235,108,2720,2720
2008,2,151396,1000,2719,2720
2008,3,95567,670,2720,2720
2008,4,186115,1070,2720,2720
2008,5,258737,1281,2720,2720
2009,1,477900,1746,2720,2720
2009,2,598885,1705,2720,2720
2009,3,25886,480,2720,2720
2009,4,28423,590,2720,2720
2009,5,634146,1812,2720,2720
2010,1,30414,387,2720,2720
2010,2,130734,779,2720,2720
2010,3,261358,1057,2720,2720
2010,4,8063,178,2720,2720
2010,5,270410,1146,2720,2720
2011,1,4626,223,2720,2720
2011,2,106609,716,2720,2720
2011,3,169028,743,2717,2720
2011,4,111788,758,2720,2720
2011,5,205498,1017,2720,2720
2012,1,121198,857,2720,2720
2012,2,351239,1204,2713,2720
2012,3,33706,339,2720,2720
2012,4,83889,597,2720,2720
2012,5,360758,1276,2720,2720
2013,1,312687,1054,2720,2720
2013,2,552052,1531,2720,2720
2013,3,202742,1024,2720,2720
2013,4,271537,1232,2720,2720
2013,5,588864,1671,2720,2720
2014,1,268025,986,2720,2720
2014,2,120069,931,2720,2720
2014,3,5957,77,2720,2720
2014,4,2229,86,2720,2720
2014,5,303837,1272,2720,2720
2015,1,14077,195,2720,2720
2015,2,45513,451,2720,2720
2015,3,28031,388,2720,2720
2015,4,0,0,2720,2720
2015,5,54030,598,2720,2720
2016,1,22041,217,2720,2720
2016,2,85845,340,2720,2720
2016,3,17858,244,2720,2720
2016,4,48732,673,2720,2720
2016,5,108746,710,2720,2720
2017,1,109638,800,2720,2720
2017,2,258326,1091,2720,2720
2017,3,103582,540,2720,2720
2017,4,36092,543,2720,2720
2017,5,281886,1168,2720,2720
2018,1,246678,1037,2720,2720
2018,2,730428,1478,2720,2720
2018,3,64970,693,2720,2720
2018,4,1279,77,2720,2720
2018,5,732029,1498,2720,2720
2019,1,82009,598,2720,2720
2019,2,370447,954,2720,2720
2019,3,63335,610,2720,2720
2019,4,7895,343,2720,2720
2019,5,372216,1011,2720,2720
2020,1,88772,567,2720,2720
2020,2,437018,1184,2720,2720
2020,3,261755,869,2720,2720
2020,4,187685,1050,2720,2720
2020,5,464044,1282,2720,2720
2021,1,387889,1387,2720,2720
2021,2,595901,1700,2720,2720
2021,3,30966,294,2720,2720
2021,4,56872,738,2720,2720
2021,5,629728,1784,2720,2720
2022,1,248541,1032,2720,2720
2022,2,543056,1453,2720,2720
2022,3,184719,937,2720,2720
2022,4,74511,649,2720,2720
2022,5,552938,1489,2720,2720
2023,1,0,0,2720,2720
2023,2,4585,64,2720,2720
2023,3,13771,100,2720,2720
2023,4,89753,380,2720,2720
2023,5,94945,397,2720,2720
2024,1,111415,544,2720,2720
2024,2,465869,1281,2720,2720
2024,3,81083,631,2720,2720
