year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
2008,3,68041,521,1336,1336
2008,4,101857,589,1336,1336
2008,5,198062,905,1336,1336
2009,1,276681,1042,1336,1336
2009,2,320369,893,1259,1336
2009,3,21042,337,1336,1336
2009,4,9075,275,1336,1336
2009,5,366670,1069,1336,1336
2010,1,21176,229,1336,1336
2010,2,35723,311,1336,1336
2010,3,55793,334,1336,1336
2010,4,15679,251,1336,1336
2010,5,79634,565,1336,1336
2011,1,4932,165,1336,1336
2011,2,21608,209,1336,1336
2011,3,24851,190,1335,1336
2011,4,12049,125,1336,1336
2011,5,39442,379,1336,1336
2012,1,37021,238,1336,1336
2012,2,62851,377,1310,1336
2012,3,4205,49,1329,1336
2012,4,12422,190,1335,1336
2012,5,74660,458,1336,1336
2013,1,155150,618,1336,1336
2013,2,319206,839,1336,1336
2013,3,161831,709,1336,1336
2013,4,104066,598,1336,1336
2013,5,339076,918,1336,1336
2014,1,77357,429,1336,1336
2014,2,138912,656,1336,1336
2014,3,2157,32,1336,1336
2014,4,239,6,1336,1336
2014,5,152816,718,1336,1336
2015,1,3764,50,1336,1336
2015,2,81783,540,1336,1336
2015,3,52306,531,1336,1336
2015,4,0,0,1336,1336
2015,5,87327,607,1336,1336
2016,1,15753,151,1336,1336
2016,2,45610,399,1336,1336
2016,3,1548,28,1336,1336
2016,4,27056,359,1336,1336
2016,5,61236,548,1336,1336
2017,1,40610,403,1336,1336
2017,2,145691,694,1336,1336
2017,3,30816,252,1332,1336
2017,4,31141,391,1336,1336
2017,5,153151,751,1336,1336
2018,1,170134,634,1336,1336
2018,2,453915,981,1336,1336
2018,3,112301,781,1336,1336
2018,4,76,5,1336,1336
2018,5,455422,995,1336,1336
2019,1,3944,81,1336,1336
2019,2,19350,92,1326,1336
2019,3,6040,95,1336,1336
2019,4,1456,55,1336,1336
2019,5,23977,188,1336,1336
2020,1,19331,169,1336,1336
2020,2,157191,461,1336,1336
2020,3,63494,291,1336,1336
2020,4,17152,217,1336,1336
2020,5,161872,491,1336,1336
2021,1,40555,274,1336,1336
2021,2,108423,567,1336,1336
2021,3,26951,236,1336,1336
2021,4,12552,152,1336,1336
2021,5,117883,650,1336,1336
2022,1,45658,188,1336,1336
2022,2,139299,429,1336,1336
2022,3,43160,236,1336,1336
2022,4,17008,162,1336,1336
2022,5,141577,458,1336,1336
2023,1,1074,19,1336,1336
2023,2,2466,59,1336,1336
2023,3,54,2,1336,1336
2023,4,239,10,1336,1336
2023,5,3799,88,1336,1336
2024,1,1045,21,1336,1336
2024,2,19223,146,1336,1336
2024,3,11145,82,1336,1336
