year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
2011,4,107513,820,2803,2803
2011,5,199684,1001,2803,2803
2012,1,130211,845,2803,2803
2012,2,380443,1183,2799,2803
2012,3,39447,429,2803,2803
2012,4,98402,750,2803,2803
2012,5,389282,1253,2803,2803
2013,1,379698,1196,2803,2803
2013,2,605623,1586,2803,2803
2013,3,272865,1194,2803,2803
2013,4,311423,1492,2803,2803
2013,5,652143,1768,2803,2803
2014,1,310589,1299,2803,2803
2014,2,134950,934,2803,2803
2014,3,5052,60,2803,2803
2014,4,2571,98,2803,2803
2014,5,344717,1468,2803,2803
2015,1,17295,271,2803,2803
2015,2,57735,650,2803,2803
2015,3,36338,545,2803,2803
2015,4,0,0,2803,2803
2015,5,67633,811,2803,2803
2016,1,27622,267,2803,2803
2016,2,86965,369,2803,2803
2016,3,17987,246,2803,2803
2016,4,55305,832,2803,2803
2016,5,119731,886,2803,2803
2017,1,129752,1094,2803,2803
2017,2,254456,1215,2803,2803
2017,3,84163,478,2803,2803
2017,4,42651,662,2803,2803
2017,5,286494,1401,2803,2803
2018,1,302762,1331,2803,2803
2018,2,933175,1771,2803,2803
2018,3,116937,1070,2803,2803
2018,4,3435,187,2803,2803
2018,5,934948,1797,2803,2803
2019,1,123358,853,2803,2803
2019,2,461789,1258,2803,2803
2019,3,75989,802,2803,2803
2019,4,7882,342,2803,2803
2019,5,463435,1307,2803,2803
2020,1,86884,659,2803,2803
2020,2,548891,1463,2803,2803
2020,3,371634,1122,2803,2803
2020,4,252920,1448,2803,2803
2020,5,583288,1581,2803,2803
2021,1,588411,1758,2803,2803
2021,2,830305,1973,2803,2803
2021,3,31952,431,2803,2803
2021,4,55568,713,2803,2803
2021,5,868064,2061,2803,2803
2022,1,255856,1146,2803,2803
2022,2,656232,1708,2803,2803
2022,3,243734,1201,2803,2803
2022,4,97569,962,2803,2803
2022,5,666512,1754,2803,2803
2023,1,0,0,2803,2803
2023,2,5014,65,2803,2803
2023,3,6212,57,2803,2803
2023,4,85816,388,2803,2803
2023,5,89124,409,2803,2803
2024,1,113197,582,2803,2803
2024,2,500833,1344,2803,2803
2024,3,60931,668,2803,2803
