YEAR,MONTH,SITE,KELP_PLANTS,HOLDFASTS
2013,12,AQB,25,23
2014,9,EUCB,443,73
2014,9,IVWB,454,56
2014,9,ABB,13,38
2014,9,CSB-CCB,6,0
2014,9,CSB-CCB,11,0
2014,9,SCLB,3,0
2014,9,AQB,76,0
2014,10,CSB-CCB,13,0
2014,10,CSB-CCB,15,0
2014,10,SCLB,40,0
2014,10,ABB,76,31
2014,10,EUCB,77,51
2014,10,IVWB,91,44
2014,10,AQB,8,4
2014,11,ABB,97,2
2014,11,CSB-CCB,29,0
2014,11,CSB-CCB,43,0
2014,11,SCLB,37,0
2014,11,EUCB,172,22
2014,11,IVWB,357,22
2014,11,AQB,60,2
2014,12,EUCB,127,10
2014,12,ABB,387,45
2014,12,CSB-CCB,34,3
2014,12,CSB-CCB,65,2
2014,12,IVWB,115,4
2014,12,SCLB,15,3
2014,12,AQB,29,12
2015,9,SCLB,117,2
2015,9,ABB,52,0
2015,9,IVWB,5,1
2015,9,AQB,23,2
2015,9,EUCB,27,14
2015,10,ABB,27,2
2015,10,CSB-CCB,2,0
2015,10,CSB-CCB,6,1
2015,10,SCLB,2,0
2015,10,AQB,61,0
2015,10,EUCB,34,11
2015,10,IVWB,36,0
2015,11,ABB,48,0
2015,11,CSB-CCB,1,0
2015,11,CSB-CCB,6,0
2015,11,SCLB,19,0
2015,11,EUCB,30,6
2015,11,IVWB,1,0
2015,11,AQB,3,0
2015,12,EUCB,2638,0
2015,12,IVWB,573,0
2015,12,ABB,67,1
2015,12,AQB,90,0
2015,12,CSB-CCB,54,0
2015,12,CSB-CCB,89,0
2015,12,SCLB,62,2
2016,9,EUCB,75,0
2016,9,IVWB,47,0
2016,9,ABB,69,0
2016,9,CSB-CCB,15,0
2016,9,CSB-CCB,21,0
2016,9,SCLB,34,0
2016,9,AQB,9,0
2016,10,EUCB,61,0
2016,10,IVWB,54,0
2016,10,ABB,83,2
2016,10,AQB,34,0
2016,10,CSB-CCB,42,0
2016,10,CSB-CCB,37,0
2016,10,SCLB,14,0
2016,11,EUCB,179,0
2016,11,IVWB,216,0
2016,11,ABB,72,0
2016,11,AQB,23,2
2016,11,CSB-CCB,0,0
2016,11,CSB-CCB,24,0
2016,11,SCLB,17,0
2016,12,CSB-CCB,9,0
2016,12,CSB-CCB,17,0
2016,12,SCLB,74,0
2016,12,ABB,68,0
2016,12,EUCB,18,0
2016,12,IVWB,41,0
2016,12,AQB,3,0
2017,9,EUCB,25,0
2017,9,SCLB,9,1
2017,9,IVWB,3,0
2017,9,ABB,11,4
2017,9,AQB,6,0
2017,9,CSB-CCB,2,0
2017,9,CSB-CCB,7,0
2017,10,CSB-CCB,17,0
2017,10,CSB-CCB,16,0
2017,10,SCLB,42,0
2017,10,ABB,130,6
2017,10,EUCB,69,27
2017,10,AQB,78,0
2017,10,IVWB,172,0
2017,11,CSB-CCB,7,0
2017,11,CSB-CCB,3,0
2017,11,SCLB,4,0
2017,11,ABB,31,0
2017,11,EUCB,5,0
2017,11,IVWB,4,0
2017,11,AQB,22,0
2017,12,SCLB,57,0
2017,12,AQB,21,0
2018,9,AQB,11,0
2018,9,EUCB,1,2
2018,9,IVWB,0,0
2018,9,CSB-CCB,0,0
2018,9,CSB-CCB,35,0
2018,9,SCLB,8,0
2018,9,ABB,139,5
2018,10,SCLB,40,0
2018,10,IVWB,11,0
2018,10,ABB,24,0
2018,10,AQB,53,0
2018,10,EUCB,36,0
2018,10,CSB-CCB,3,0
2018,10,CSB-CCB,5,1
2018,11,ABB,32,0
2018,11,EUCB,96,0
2018,11,IVWB,376,0
2018,11,CSB-CCB,6,0
2018,11,CSB-CCB,25,0
2018,11,SCLB,8,0
2018,11,AQB,41,0
2018,12,SCLB,0,0
2018,12,CSB-CCB,10,0
2018,12,CSB-CCB,4,0
2018,12,EUCB,1,0
2018,12,IVWB,15,0
2018,12,AQB,0,0
2018,12,ABB,63,0
2019,9,EUCB,14,0
2019,9,IVWB,7,0
2019,9,AQB,0,0
2019,9,ABB,37,0
2019,9,SCLB,5,0
2019,9,CSB-CCB,1,0
2019,9,CSB-CCB,2,0
2019,10,IVWB,4,0
2019,10,EUCB,5,0
2019,10,CSB-CCB,0,0
2019,10,CSB-CCB,4,0
2019,10,SCLB,1,0
2019,10,ABB,4,0
2019,10,AQB,1,0
2019,11,ABB,37,0
2019,11,AQB,49,0
2019,11,IVWB,77,0
2019,11,EUCB,164,0
2019,11,CSB-CCB,0,0
2019,11,CSB-CCB,1,0
2019,11,SCLB,4,0
2019,12,IVWB,56,0
2019,12,EUCB,79,0
2019,12,ABB,166,0
2019,12,SCLB,22,0
2019,12,AQB,37,0
2019,12,CSB-CCB,15,0
2019,12,CSB-CCB,2,0
2020,9,ABB,95,0
2020,9,EUCB,463,0
2020,9,CSB-CCB,1,0
2020,9,CSB-CCB,2,0
2020,9,SCLB,12,0
2020,9,IVWB,0,193
2020,10,CSB-CCB,4,0
2020,10,CSB-CCB,1,0
2020,10,EUCB,66,0
2020,10,ABB,72,0
2020,10,IVWB,111,0
2020,10,AQB,22,7
2020,10,SCLB,9,0
2020,11,AQB,31,0
2020,11,IVWB,115,0
2020,11,EUCB,738,0
2020,11,SCLB,49,5
2020,11,CSB-CCB,8,0
2020,11,ABB,80,0
2020,11,AQB,39,0
2020,12,CSB-CCB,197,0
2020,12,CSB-CCB,52,0
2020,12,EUCB,584,330
2020,12,IVWB,129,43
2020,12,SCLB,159,0
2020,12,AQB,28,0
2020,12,ABB,662,0
2021,9,EUCB,151,0
2021,9,IVWB,16,0
2021,9,SCLB,28,0
2021,9,CSB-CCB,14,0
2021,9,CSB-CCB,222,0
2021,9,ABB,285,0
2021,9,AQB,109,0
2021,10,EUCB,354,0
2021,10,IVWB,74,0
2021,10,SCLB,34,0
2021,10,CSB-CCB,38,0
2021,10,CSB-CCB,98,0
2021,10,ABB,308,0
2021,10,AQB,6,0
2021,11,EUCB,43,0
2021,11,IVWB,34,0
2021,11,ABB,22,0
2021,11,CSB-CCB,2,0
2021,11,CSB-CCB,6,0
2021,11,SCLB,4,0
2021,11,AQB,22,0
2021,12,IVWB,173,0
2021,12,EUCB,467,24
2021,12,CSB-CCB,8,0
2021,12,CSB-CCB,7,0
2021,12,ABB,31,0
2021,12,SCLB,5,0
2021,12,AQB,1,0
2021,12,ABB,188,10
2021,12,ABB,188,11
2022,9,ABB,129,0
2022,9,AQB,19,0
2022,9,EUCB,25,0
2022,9,IVWB,45,0
2022,9,SCLB,21,0
2022,10,SCLB,3,0
2022,10,EUCB,516,0
2022,10,IVWB,57,0
2022,10,ABB,122,0
2022,10,AQB,17,0
2022,11,ABB,313,0
2022,11,SCLB,4,0
2022,11,EUCB,98,51
2022,11,AQB,47,0
2022,11,IVWB,26,33
2022,12,SCLB,7,0
2022,12,EUCB,319,42
2022,12,IVWB,133,12
2022,12,ABB,46,0
2022,12,AQB,29,0
