YEAR,MONTH,SITE,KELP_PLANTS,HOLDFASTS,kelp_area_m2,pH
2012,12,AQB,16,57,12422,8.044955197132616
2012,12,EUCB,20,25,83889,
2012,12,IVWB,17,3,98402,
2013,9,ABB,3,15,102363,
2013,9,CSB-CCB,2,1,105855,
2013,9,CSB-CCB,2,2,105855,
2013,9,SCLB,0,0,113828,
2013,9,IVWB,45,14,311423,
2013,9,AQB,26,16,104066,
2013,9,EUCB,50,9,271537,
2013,10,AQB,23,2,104066,8.05972706155633
2013,10,ABB,40,15,102363,
2013,10,CSB-CCB,15,0,105855,
2013,10,CSB-CCB,22,17,105855,
2013,10,SCLB,36,3,113828,
2013,10,EUCB,110,0,271537,
2013,10,IVWB,102,18,311423,
2013,11,ABB,64,8,102363,
2013,11,CSB-CCB,13,1,105855,
2013,11,CSB-CCB,36,0,105855,
2013,11,SCLB,7,0,113828,
2013,11,EUCB,7,0,271537,
2013,11,IVWB,51,17,311423,
2013,11,AQB,41,15,104066,8.050930555555555
2013,12,CSB-CCB,21,5,105855,
2013,12,CSB-CCB,73,16,105855,
2013,12,IVWB,99,26,311423,
2013,12,SCLB,35,2,113828,
2013,12,ABB,126,37,102363,
2013,12,EUCB,68,39,271537,
2013,12,AQB,25,23,104066,8.033472222222223
2014,9,EUCB,443,73,2229,
2014,9,IVWB,454,56,2571,
2014,9,ABB,13,38,18,8.001182071528099
2014,9,CSB-CCB,6,0,5238,
2014,9,CSB-CCB,11,0,5238,
2014,9,SCLB,3,0,5224,
2014,9,AQB,76,0,239,7.995032932971717
2014,10,CSB-CCB,13,0,5238,
2014,10,CSB-CCB,15,0,5238,
2014,10,SCLB,40,0,5224,
2014,10,ABB,76,31,18,7.983023685019994
2014,10,EUCB,77,51,2229,
2014,10,IVWB,91,44,2571,
2014,10,AQB,8,4,239,8.014483164586768
2014,11,ABB,97,2,18,8.046195207481004
2014,11,CSB-CCB,29,0,5238,
2014,11,CSB-CCB,43,0,5238,
2014,11,SCLB,37,0,5224,
2014,11,EUCB,172,22,2229,
2014,11,IVWB,357,22,2571,
2014,11,AQB,60,2,239,8.03597147950089
2014,12,EUCB,127,10,2229,
2014,12,ABB,387,45,18,8.06554435483871
2014,12,CSB-CCB,34,3,5238,
2014,12,CSB-CCB,65,2,5238,
2014,12,IVWB,115,4,2571,
2014,12,SCLB,15,3,5224,
2014,12,AQB,29,12,239,
2015,9,SCLB,117,2,0,
2015,9,ABB,52,0,0,7.969698025551684
2015,9,IVWB,5,1,0,
2015,9,AQB,23,2,0,
2015,9,EUCB,27,14,0,
2015,10,ABB,27,2,0,8.009625476564251
2015,10,CSB-CCB,2,0,0,
2015,10,CSB-CCB,6,1,0,
2015,10,SCLB,2,0,0,
2015,10,AQB,61,0,0,
2015,10,EUCB,34,11,0,
2015,10,IVWB,36,0,0,
2015,11,ABB,48,0,0,8.037254402224281
2015,11,CSB-CCB,1,0,0,
2015,11,CSB-CCB,6,0,0,
2015,11,SCLB,19,0,0,
2015,11,EUCB,30,6,0,
2015,11,IVWB,1,0,0,
2015,11,AQB,3,0,0,
2015,12,EUCB,2638,0,0,
2015,12,IVWB,573,0,0,
2015,12,ABB,67,1,0,8.058068996415772
2015,12,AQB,90,0,0,
2015,12,CSB-CCB,54,0,0,
2015,12,CSB-CCB,89,0,0,
2015,12,SCLB,62,2,0,
2016,9,EUCB,75,0,48732,
2016,9,IVWB,47,0,55305,7.960236220472441
2016,9,ABB,69,0,4453,7.991008039579468
2016,9,CSB-CCB,15,0,43393,
2016,9,CSB-CCB,21,0,43393,
2016,9,SCLB,34,0,43335,
2016,9,AQB,9,0,27056,8.020293981481482
2016,10,EUCB,61,0,48732,
2016,10,IVWB,54,0,55305,7.947948369565217
2016,10,ABB,83,2,4453,
2016,10,AQB,34,0,27056,8.017107804750719
2016,10,CSB-CCB,42,0,43393,
2016,10,CSB-CCB,37,0,43393,
2016,10,SCLB,14,0,43335,
2016,11,EUCB,179,0,48732,
2016,11,IVWB,216,0,55305,7.835280276816609
2016,11,ABB,72,0,4453,7.93587358684481
2016,11,AQB,23,2,27056,
2016,11,CSB-CCB,0,0,43393,
2016,11,CSB-CCB,24,0,43393,
2016,11,SCLB,17,0,43335,
2016,12,CSB-CCB,9,0,43393,
2016,12,CSB-CCB,17,0,43393,
2016,12,SCLB,74,0,43335,
2016,12,ABB,68,0,4453,7.918055555555555
2016,12,EUCB,18,0,48732,
2016,12,IVWB,41,0,55305,7.450082781456954
2016,12,AQB,3,0,27056,8.029512195121951
2017,9,EUCB,25,0,36092,
2017,9,SCLB,9,1,896,
2017,9,IVWB,3,0,42651,7.812479166666666
2017,9,ABB,11,4,1834,8.035819735819736
2017,9,AQB,6,0,31141,
2017,9,CSB-CCB,2,0,896,
2017,9,CSB-CCB,7,0,896,
2017,10,CSB-CCB,17,0,896,
2017,10,CSB-CCB,16,0,896,
2017,10,SCLB,42,0,896,
2017,10,ABB,130,6,1834,7.988844086021505
2017,10,EUCB,69,27,36092,
2017,10,AQB,78,0,31141,7.937626397019691
2017,10,IVWB,172,0,42651,7.861760752688172
2017,11,CSB-CCB,7,0,896,
2017,11,CSB-CCB,3,0,896,
2017,11,SCLB,4,0,896,
2017,11,ABB,31,0,1834,7.988402777777777
2017,11,EUCB,5,0,36092,
2017,11,IVWB,4,0,42651,7.912229166666667
2017,11,AQB,22,0,31141,7.89424537037037
2017,12,SCLB,57,0,896,
2017,12,AQB,21,0,31141,7.9433870967741935
2018,9,AQB,11,0,76,7.943509513742072
2018,9,EUCB,1,2,1279,
2018,9,IVWB,0,0,3435,8.076972222222222
2018,9,CSB-CCB,0,0,0,
2018,9,CSB-CCB,35,0,0,
2018,9,SCLB,8,0,0,
2018,9,ABB,139,5,334,7.989520833333334
2018,10,SCLB,40,0,0,
2018,10,IVWB,11,0,3435,8.081296928327646
2018,10,ABB,24,0,334,8.190835016835017
2018,10,AQB,53,0,76,7.922083333333333
2018,10,EUCB,36,0,1279,
2018,10,CSB-CCB,3,0,0,
2018,10,CSB-CCB,5,1,0,
2018,11,ABB,32,0,334,8.000083333333334
2018,11,EUCB,96,0,1279,
2018,11,IVWB,376,0,3435,8.00088888888889
2018,11,CSB-CCB,6,0,0,
2018,11,CSB-CCB,25,0,0,
2018,11,SCLB,8,0,0,
2018,11,AQB,41,0,76,7.989904534606205
2018,12,SCLB,0,0,0,
2018,12,CSB-CCB,10,0,0,
2018,12,CSB-CCB,4,0,0,
2018,12,EUCB,1,0,1279,
2018,12,IVWB,15,0,3435,8.029885752688173
2018,12,AQB,0,0,76,8.029099746407438
2018,12,ABB,63,0,334,7.984269713261648
2019,9,EUCB,14,0,7895,
2019,9,IVWB,7,0,7882,8.014194444444446
2019,9,AQB,0,0,1456,8.01288959390863
2019,9,ABB,37,0,896,8.010451388888889
2019,9,SCLB,5,0,0,
2019,9,CSB-CCB,1,0,0,
2019,9,CSB-CCB,2,0,0,
2019,10,IVWB,4,0,7882,7.918666666666667
2019,10,EUCB,5,0,7895,
2019,10,CSB-CCB,0,0,0,
2019,10,CSB-CCB,4,0,0,
2019,10,SCLB,1,0,0,
2019,10,ABB,4,0,896,8.00398918918919
2019,10,AQB,1,0,1456,8.001500589622642
2019,11,ABB,37,0,896,8.005586805555556
2019,11,AQB,49,0,1456,7.806379629629629
2019,11,IVWB,77,0,7882,
2019,11,EUCB,164,0,7895,
2019,11,CSB-CCB,0,0,0,
2019,11,CSB-CCB,1,0,0,
2019,11,SCLB,4,0,0,
2019,12,IVWB,56,0,7882,
2019,12,EUCB,79,0,7895,
2019,12,ABB,166,0,896,8.015682798275035
2019,12,SCLB,22,0,0,
2019,12,AQB,37,0,1456,7.422381272401434
2019,12,CSB-CCB,15,0,0,
2019,12,CSB-CCB,2,0,0,
2020,9,ABB,95,0,16296,8.062347222222222
2020,9,EUCB,463,0,187685,
2020,9,CSB-CCB,1,0,178,
2020,9,CSB-CCB,2,0,178,
2020,9,SCLB,12,0,153,
2020,9,IVWB,0,193,252920,
2020,10,CSB-CCB,4,0,178,
2020,10,CSB-CCB,1,0,178,
2020,10,EUCB,66,0,187685,
2020,10,ABB,72,0,16296,8.000607078853047
2020,10,IVWB,111,0,252920,
2020,10,AQB,22,7,17152,8.074883512544803
2020,10,SCLB,9,0,153,
2020,11,AQB,31,0,17152,8.02942781979612
2020,11,IVWB,115,0,252920,
2020,11,EUCB,738,0,187685,
2020,11,SCLB,49,5,153,
2020,11,CSB-CCB,8,0,178,
2020,11,ABB,80,0,16296,7.958349537037037
2020,11,AQB,39,0,17152,8.02942781979612
2020,12,CSB-CCB,197,0,178,
2020,12,CSB-CCB,52,0,178,
2020,12,EUCB,584,330,187685,
2020,12,IVWB,129,43,252920,
2020,12,SCLB,159,0,153,
2020,12,AQB,28,0,17152,8.02383064516129
2020,12,ABB,662,0,16296,7.939735652959782
2021,9,EUCB,151,0,56872,
2021,9,IVWB,16,0,55568,
2021,9,SCLB,28,0,4171,
2021,9,CSB-CCB,14,0,4154,
2021,9,CSB-CCB,222,0,4154,
2021,9,ABB,285,0,52347,
2021,9,AQB,109,0,12552,8.192985074626867
2021,10,EUCB,354,0,56872,
2021,10,IVWB,74,0,55568,
2021,10,SCLB,34,0,4171,
2021,10,CSB-CCB,38,0,4154,
2021,10,CSB-CCB,98,0,4154,
2021,10,ABB,308,0,52347,
2021,10,AQB,6,0,12552,7.948375896057349
2021,11,EUCB,43,0,56872,
2021,11,IVWB,34,0,55568,
2021,11,ABB,22,0,52347,
2021,11,CSB-CCB,2,0,4154,
2021,11,CSB-CCB,6,0,4154,
2021,11,SCLB,4,0,4171,
2021,11,AQB,22,0,12552,7.920724537037037
2021,12,IVWB,173,0,55568,
2021,12,EUCB,467,24,56872,
2021,12,CSB-CCB,8,0,4154,
2021,12,CSB-CCB,7,0,4154,
2021,12,ABB,31,0,52347,
2021,12,SCLB,5,0,4171,
2021,12,AQB,1,0,12552,7.814124103942652
2021,12,ABB,188,10,52347,
2021,12,ABB,188,11,52347,
2022,9,ABB,129,0,9681,7.955623599701269
2022,9,AQB,19,0,17008,8.093101851851852
2022,9,EUCB,25,0,74511,
2022,9,IVWB,45,0,97569,
2022,9,SCLB,21,0,2585,
2022,10,SCLB,3,0,2585,
2022,10,EUCB,516,0,74511,
2022,10,IVWB,57,0,97569,
2022,10,ABB,122,0,9681,
2022,10,AQB,17,0,17008,8.116433691756272
2022,11,ABB,313,0,9681,
2022,11,SCLB,4,0,2585,
2022,11,EUCB,98,51,74511,
2022,11,AQB,47,0,17008,8.005803738317756
2022,11,IVWB,26,33,97569,
2022,12,SCLB,7,0,2585,
2022,12,EUCB,319,42,74511,
2022,12,IVWB,133,12,97569,
2022,12,ABB,46,0,9681,
2022,12,AQB,29,0,17008,7.95100806451613
