year,region,quarter,kelp_area_m2
2013,CSB-CCB,1,89106
2013,ESBB,2,33700
2013,ESBB,1,33853
2013,CSB-CCB,3,71942
2013,CSB-CCB,4,105855
2013,CSB-CCB,5,153303
2013,EUCB,5,588864
2013,ESBB,5,47164
2013,EUCB,4,271537
2013,EUCB,3,202742
2013,EUCB,2,552052
2013,CSB-CCB,2,126483
2013,IVWB,5,652143
2013,IVWB,4,311423
2013,ESBB,4,17849
2013,SCLB,5,179702
2013,SCLB,4,113828
2013,SCLB,3,75577
2013,SCLB,2,150480
2013,SCLB,1,104701
2013,AQB,1,155150
2013,AQB,3,161831
2013,AQB,4,104066
2013,AQB,5,339076
2013,AQB,2,319206
2013,ABB,2,210374
2013,ABB,5,257716
2013,ABB,3,123675
2013,ABB,4,102363
2013,ABB,1,146057
2014,CSB-CCB,1,31284
2014,SCLB,2,57377
2014,SCLB,1,40735
2014,CSB-CCB,3,9877
2014,CSB-CCB,4,5238
2014,EUCB,2,120069
2014,IVWB,4,2571
2014,IVWB,3,5052
2014,IVWB,2,134950
2014,IVWB,1,310589
2014,EUCB,5,303837
2014,CSB-CCB,5,70053
2014,EUCB,4,2229
2014,EUCB,3,5957
2014,CSB-CCB,2,54204
2014,IVWB,5,344717
2014,ABB,1,41831
2014,ABB,5,109369
2014,AQB,5,152816
2014,AQB,4,239
2014,AQB,3,2157
2014,AQB,2,138912
2014,AQB,1,77357
2014,ABB,4,18
2014,SCLB,5,79027
2014,SCLB,4,5224
2014,SCLB,3,9793
2014,EUCB,1,268025
2014,ESBB,1,13791
2014,ESBB,2,7634
2014,ESBB,3,132
2014,ESBB,4,27
2014,ESBB,5,17760
2014,ABB,3,2773
2014,ABB,2,100793
2015,SCLB,3,2219
2015,SCLB,4,0
2015,ESBB,4,0
2015,ABB,5,4882
2015,ABB,4,0
2015,ESBB,5,1756
2015,ESBB,3,643
2015,ESBB,2,1129
2015,ESBB,1,489
2015,ABB,3,2968
2015,ABB,2,3940
2015,ABB,1,388
2015,SCLB,5,7127
2015,SCLB,2,7040
2015,IVWB,1,17295
2015,CSB-CCB,5,7376
2015,IVWB,3,36338
2015,IVWB,4,0
2015,IVWB,5,67633
2015,AQB,5,87327
2015,AQB,4,0
2015,AQB,3,52306
2015,AQB,2,81783
2015,AQB,1,3764
2015,EUCB,5,54030
2015,EUCB,4,0
2015,EUCB,3,28031
2015,EUCB,2,45513
2015,SCLB,1,932
2015,EUCB,1,14077
2015,CSB-CCB,2,7263
2015,CSB-CCB,4,0
2015,CSB-CCB,3,2341
2015,CSB-CCB,1,932
2015,IVWB,2,57735
2016,SCLB,1,4483
2016,SCLB,2,8497
2016,SCLB,3,14840
2016,SCLB,4,43335
2016,SCLB,5,55160
2016,EUCB,5,108746
2016,EUCB,4,48732
2016,IVWB,4,55305
2016,EUCB,2,85845
2016,EUCB,1,22041
2016,ESBB,4,1582
2016,ESBB,3,0
2016,ESBB,2,0
2016,ESBB,1,0
2016,IVWB,1,27622
2016,IVWB,2,86965
2016,IVWB,3,17987
2016,IVWB,5,119731
2016,EUCB,3,17858
2016,ESBB,5,1582
2016,ABB,3,0
2016,CSB-CCB,4,43393
2016,CSB-CCB,5,55218
2016,CSB-CCB,1,4483
2016,AQB,1,15753
2016,AQB,2,45610
2016,AQB,3,1548
2016,AQB,4,27056
2016,AQB,5,61236
2016,CSB-CCB,3,14840
2016,ABB,1,0
2016,ABB,2,0
2016,CSB-CCB,2,8497
2016,ABB,5,4453
2016,ABB,4,4453
2017,AQB,2,145691
2017,AQB,1,40610
2017,IVWB,5,286494
2017,IVWB,4,42651
2017,IVWB,3,84163
2017,IVWB,2,254456
2017,IVWB,1,129752
2017,SCLB,4,896
2017,SCLB,5,149624
2017,ABB,5,12097
2017,ABB,4,1834
2017,ABB,3,6102
2017,ABB,2,7410
2017,CSB-CCB,5,149591
2017,CSB-CCB,4,896
2017,CSB-CCB,3,41873
2017,CSB-CCB,2,148219
2017,CSB-CCB,1,12084
2017,ABB,1,6073
2017,AQB,3,30816
2017,EUCB,1,109638
2017,SCLB,3,41963
2017,EUCB,3,103582
2017,EUCB,4,36092
2017,EUCB,5,281886
2017,ESBB,1,1980
2017,ESBB,2,2829
2017,SCLB,2,148192
2017,SCLB,1,12054
2017,ESBB,3,3208
2017,ESBB,4,20781
2017,ESBB,5,24029
2017,AQB,5,153151
2017,AQB,4,31141
2017,EUCB,2,258326
2018,AQB,1,170134
2018,SCLB,2,70402
2018,EUCB,4,1279
2018,EUCB,5,732029
2018,EUCB,3,64970
2018,EUCB,2,730428
2018,EUCB,1,246678
2018,AQB,4,76
2018,AQB,5,455422
2018,SCLB,4,0
2018,SCLB,5,71697
2018,AQB,3,112301
2018,SCLB,3,0
2018,AQB,2,453915
2018,CSB-CCB,5,74464
2018,CSB-CCB,2,73169
2018,ABB,1,10913
2018,ABB,2,101601
2018,ABB,3,25380
2018,ABB,4,334
2018,ABB,5,102693
2018,ESBB,1,2464
2018,ESBB,2,23112
2018,ESBB,3,3744
2018,ESBB,4,0
2018,CSB-CCB,1,12713
2018,ESBB,5,23160
2018,CSB-CCB,3,77
2018,CSB-CCB,4,0
2018,IVWB,5,934948
2018,IVWB,4,3435
2018,IVWB,3,116937
2018,IVWB,2,933175
2018,SCLB,1,12538
2018,IVWB,1,302762
2019,IVWB,3,75989
2019,AQB,5,23977
2019,AQB,4,1456
2019,SCLB,1,24
2019,AQB,2,19350
2019,AQB,1,3944
2019,ABB,2,30590
2019,IVWB,2,461789
2019,ABB,3,6021
2019,IVWB,1,123358
2019,ABB,4,896
2019,ABB,5,31981
2019,IVWB,5,463435
2019,IVWB,4,7882
2019,ABB,1,5126
2019,SCLB,2,0
2019,AQB,3,6040
2019,SCLB,4,0
2019,CSB-CCB,5,62
2019,CSB-CCB,4,0
2019,CSB-CCB,3,62
2019,CSB-CCB,2,0
2019,CSB-CCB,1,0
2019,SCLB,5,107
2019,ESBB,5,466
2019,EUCB,1,82009
2019,EUCB,3,63335
2019,EUCB,4,7895
2019,EUCB,5,372216
2019,ESBB,4,466
2019,EUCB,2,370447
2019,ESBB,1,0
2019,ESBB,3,0
2019,ESBB,2,0
2019,SCLB,3,83
2020,ESBB,4,1472
2020,CSB-CCB,5,7614
2020,CSB-CCB,4,178
2020,CSB-CCB,3,4799
2020,CSB-CCB,2,6021
2020,CSB-CCB,1,432
2020,ESBB,3,10539
2020,IVWB,1,86884
2020,ABB,2,49210
2020,IVWB,2,548891
2020,ABB,4,16296
2020,IVWB,4,252920
2020,IVWB,5,583288
2020,ESBB,2,6957
2020,ESBB,1,3512
2020,ABB,3,51562
2020,ABB,1,12225
2020,IVWB,3,371634
2020,ABB,5,70543
2020,ESBB,5,10785
2020,AQB,5,161872
2020,AQB,4,17152
2020,AQB,1,19331
2020,SCLB,1,0
2020,SCLB,2,0
2020,SCLB,3,250
2020,SCLB,4,153
2020,AQB,3,63494
2020,SCLB,5,316
2020,EUCB,5,464044
2020,EUCB,4,187685
2020,EUCB,1,88772
2020,EUCB,2,437018
2020,EUCB,3,261755
2020,AQB,2,157191
2021,EUCB,1,387889
2021,EUCB,3,30966
2021,SCLB,3,2535
2021,ABB,1,66053
2021,EUCB,4,56872
2021,EUCB,5,629728
2021,CSB-CCB,1,9524
2021,CSB-CCB,2,80974
2021,CSB-CCB,3,2535
2021,CSB-CCB,4,4154
2021,CSB-CCB,5,84010
2021,SCLB,5,79762
2021,ABB,2,134608
2021,ABB,4,52347
2021,SCLB,2,76709
2021,SCLB,4,4171
2021,ESBB,5,11338
2021,ESBB,4,1309
2021,ESBB,3,1985
2021,ESBB,2,10830
2021,ESBB,1,3716
2021,SCLB,1,8979
2021,ABB,3,47300
2021,AQB,4,12552
2021,AQB,5,117883
2021,IVWB,2,830305
2021,IVWB,3,31952
2021,IVWB,4,55568
2021,IVWB,5,868064
2021,AQB,3,26951
2021,AQB,2,108423
2021,AQB,1,40555
2021,ABB,5,139921
2021,IVWB,1,588411
2021,EUCB,2,595901
2022,SCLB,1,5420
2022,SCLB,2,60705
2022,SCLB,3,8300
2022,CSB-CCB,4,2585
2022,IVWB,4,97569
2022,CSB-CCB,3,8300
2022,CSB-CCB,2,60611
2022,CSB-CCB,1,5420
2022,SCLB,4,2585
2022,ESBB,1,2005
2022,ESBB,2,5624
2022,ESBB,3,2585
2022,ESBB,4,1432
2022,ESBB,5,5861
2022,AQB,5,141577
2022,AQB,4,17008
2022,AQB,3,43160
2022,AQB,2,139299
2022,IVWB,5,666512
2022,AQB,1,45658
2022,EUCB,2,543056
2022,EUCB,3,184719
2022,EUCB,4,74511
2022,EUCB,5,552938
2022,CSB-CCB,5,60628
2022,ABB,5,66166
2022,ABB,4,9681
2022,ABB,3,20269
2022,ABB,2,61561
2022,ABB,1,23228
2022,IVWB,1,255856
2022,IVWB,2,656232
2022,IVWB,3,243734
2022,EUCB,1,248541
2022,SCLB,5,60722
